Department Name,Classification Name,Job Pay Rate,Job Start Date,Yrs Svc,Job Employer Status,Address Zip Code
ER ADMITTING,ADMT REG REP,23.14,5/6/2019,1.75,Active Full Time,91740
ER ADMITTING,ADMT REG REP,20.989,1/13/2017,4.083,RFT - LOA > 30 da,91761
ADMITTING NORTH,ADMT REG REP,23.14,5/5/2008,12.75,Active Regular Pa,91730
ER ADMITTING,ADMT REG REP,23.14,9/22/2003,17.417,Active Full Time,92880
ADMITTING SOUTH,ADMT REG REP,17.267,6/13/2016,4.667,Active Regular Pa,91766
ER ADMITTING,ADMT REG REP,23.14,9/8/2014,6.417,Active Full Time,91709
ADMITTING SOUTH,ADMT REG REP,23.14,5/11/2007,13.75,Active Regular Pa,91709
ER ADMITTING,ADMT REG REP,19.989,9/30/2020,0.417,Active Part Time,92336
ER ADMITTING,ADMT REG REP,23.14,11/16/2020,0.25,Active Regular Pa,91786
ER ADMITTING,ADMT REG REP,17.267,1/30/2017,4.083,Active Part Time,92377
ER ADMITTING,ADMT REG REP,17.267,3/31/2019,1.917,Active Full Time,92336
ER ADMITTING,ADMT REG REP,22.039,11/14/2016,4.25,RFT - LOA > 30 da,92553
ER ADMITTING,ADMT REG REP,23.14,6/17/2003,17.667,RFT - LOA > 30 da,91768
ER ADMITTING,ADMT REG REP,16.444,2/10/2020,1.0,Active Part Time,91737
ADMITTING SOUTH,ADMT REG REP,23.14,3/19/2007,13.917,Active Full Time,91767
ER ADMITTING,ADMT REG REP,20.989,4/13/2015,5.833,Active Full Time,91765
ADMITTING SOUTH,ADMT REG REP,23.14,5/12/2014,6.75,Active Full Time,92376
ER ADMITTING,ADMT REG REP,23.14,11/6/2000,20.25,Active Full Time,91709
ER ADMITTING,ADMT REG REP,20.989,1/9/2017,4.083,RFT - LOA > 30 da,91750
ADMITTING NORTH,ADMT REG REP,23.14,4/28/2014,6.833,Active Full Time,91767
ADMITTING SOUTH,ADMT REG REP,23.14,10/30/2001,19.333,Active Full Time,92376
ER ADMITTING,ADMT REG REP,17.267,1/2/2020,1.083,Active Regular Pa,92335
ADMITTING SOUTH,ADMT REG REP,18.131,11/9/2015,5.25,RPT - LOA > 30 da,91766
ADMITTING SOUTH,ADMT REG REP,19.037,3/9/2020,0.917,Active Part Time,92337
ER ADMITTING,ADMT REG REP,23.14,9/14/2020,0.417,Active Part Time,91767
ER ADMITTING,ADMT REG REP,16.444,11/9/2020,0.25,Active Regular Pa,91007
PHY THER LAVERNE HC,"AIDE I, PHYSICAL THE",21.455,12/3/2007,13.167,Active Regular Pa,91711
PHYSICAL THERAPY,"AIDE II, PHYSICAL TH",22.534,6/3/2016,4.667,Active Full Time,91710
PHYSICAL THERAPY,"AIDE III, PHYSICAL T",30.232,6/3/1991,29.667,Active Full Time,92392
PHYSICAL THERAPY,"AIDE III, PHYSICAL T",28.792,9/3/2002,18.417,Active Full Time,92345
PHYSICAL THERAPY MON,"AIDE III, PHYSICAL T",30.232,5/18/1992,28.75,Active Full Time,91730
PHYSICAL THERAPY CHI,"AIDE III, PHYSICAL T",28.792,4/9/2002,18.833,Active Full Time,91764
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",15.791,5/13/2019,1.75,RPT - LOA > 30 da,92831
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",15.791,9/17/2019,1.417,Active Regular Pa,91745
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",19.194,10/19/2020,0.333,Active Regular Pa,91710
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",17.41,11/12/2018,2.25,Active Part Time,91767
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",22.221,7/13/2015,5.583,Active Full Time,91752
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",22.221,5/1/2013,7.75,Active Regular Pa,92324
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",22.221,10/22/2018,2.333,Per Diem - LOA,91711
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",20.154,8/10/2015,5.5,Active Regular Pa,92336
RADIOLOGY-MRI,"AIDE, RADIOLOGY TRAN",19.194,10/31/2016,4.333,Active Part Time,91730
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",15.791,2/10/2020,1.0,Active Regular Pa,91730
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",23.332,7/17/1990,30.583,Active Full Time,91786
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",18.28,10/5/2015,5.333,Active Regular Pa,91752
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",17.41,9/24/2018,2.417,Active Part Time,91750
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",17.41,9/10/2018,2.417,Active Part Time,91709
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",22.221,11/27/2006,14.25,Active Full Time,92860
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",15.791,3/30/2020,0.917,Active Part Time,91768
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",19.194,9/14/2015,5.417,Active Regular Pa,92336
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",22.221,10/1/2013,7.333,Active Regular Pa,92223
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",18.28,11/9/2015,5.25,Active Regular Pa,91786
RADIOLOGY-SCAN,"AIDE, ULTRASOUND",24.297,3/13/1994,26.917,Active Full Time,91766
RADIOLOGY-MRI,"AIDE, ULTRASOUND",24.297,9/21/1990,30.417,Active Full Time,91750
MATERIALS MGNT ADMIN,"ANALYST, CDM & REVEN",45.29,4/3/2006,14.833,Active Full Time,92404
INFORMATION SERVICES,"ANALYST, CLINICAL IN",67.639,5/31/2016,4.75,Active Full Time,91784
INFORMATION SERVICES,"ANALYST, CLINICAL IN",57.77,4/1/2020,0.833,Active Full Time,92880
INFORMATION SERVICES,"ANALYST, CLINICAL IN",61.225,1/28/2008,13.083,Active Full Time,91763
SATELLITE CENTRAL BI,"ANALYST, CODING QUAL",41.079,11/30/2016,4.25,Active Full Time,91723
INFECTION CONTROL,"ANALYST, INFECTION P",36.696,7/5/2007,13.583,Active Full Time,91701
BUSINESS SERVICES SY,"ANALYST, LEAD REVENU",58.726,3/16/1992,28.917,Active Full Time,91764
SATELLITE CENTRAL BI,"ANALYST, PAYER REIMB",29.944,9/26/2005,15.417,Active Full Time,92335
PATIENT ACCOUNTING,"ANALYST, PERFORMANCE",48.423,11/1/1999,21.25,Active Regular Pa,91739
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",50.845,3/19/2001,19.917,Active Full Time,91709
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",53.387,12/19/1997,23.167,Active Full Time,91709
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",41.83,4/9/2012,8.833,Active Full Time,91761
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",53.387,4/29/2019,1.833,Active Full Time,91786
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",50.845,9/13/2004,16.417,RFT - LOA > 30 da,91764
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",46.116,7/31/2006,14.583,Active Full Time,92506
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",46.116,10/16/2001,19.333,Active Full Time,92509
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",46.116,9/1/2006,14.417,Active Full Time,92336
MATERIALS MGNT ADMIN,"ANALYST, STRATEGIC S",40.606,9/10/2018,2.417,Active Full Time,91761
CANCER REGISTRY,"ASISSTANT, CANCER RE",26.138,7/12/2007,13.583,Active Regular Pa,91750
STERILE PROCESSING,"ASSISTANT DIRECTOR,",58.371,7/9/2018,2.583,Active Full Time,91752
HEALTH INFO MGNT/COD,"ASSISTANT DIRECTOR,",77.24,7/7/2014,6.583,Active Full Time,91723
LAVERNE HC PRIMARY C,"ASSISTANT I, MEDICAL",21.7,2/11/2002,19.0,Active Full Time,91711
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",21.7,7/25/2005,15.583,Active Full Time,92345
CLAREMONT HC URGENT,"ASSISTANT I, MEDICAL",17.004,5/2/2018,2.75,Active Regular Pa,92316
CLAREMONT HC URGENT,"ASSISTANT I, MEDICAL",15.423,4/12/2020,0.833,Active Regular Pa,91730
CHINO HILLS  HEALTH,"ASSISTANT I, MEDICAL",21.7,1/3/2011,10.083,Active Full Time,91765
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",21.7,7/6/2004,16.583,Active Full Time,91786
LAVERNE HC URGENT CA,"ASSISTANT I, MEDICAL",21.7,3/28/2012,8.917,Active Full Time,92337
CHINO HILLS  HEALTH,"ASSISTANT I, MEDICAL",21.7,3/10/2008,12.917,Active Full Time,92509
CLAREMONT HC PRIMARY,"ASSISTANT I, MEDICAL",21.7,2/6/2006,15.0,Active Full Time,91010
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",21.7,5/12/2008,12.75,RFT - LOA > 30 da,92377
CHILDREN'S OUTPATIEN,"ASSISTANT I, MEDICAL",21.7,4/29/2019,1.833,Active Regular Pa,91744
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",21.7,3/13/2006,14.917,Active Full Time,91723
CLAREMONT HC PRIMARY,"ASSISTANT I, MEDICAL",19.684,4/30/2018,2.833,Active Full Time,92335
CHINO HILLS  HEALTH,"ASSISTANT I, MEDICAL",21.7,2/3/2010,11.0,Active Full Time,91740
CLAREMONT HC URGENT,"ASSISTANT I, MEDICAL",21.7,5/20/2004,16.75,Active Full Time,91766
HEALTH INFO MGNT/COD,"ASSISTANT, CODING",31.05,2/2/2005,16.0,RFT - LOA > 30 da,92411
DAY SURGERY,"ASSISTANT, DAY SURG",31.149,2/17/2004,17.0,Active Full Time,91710
FOOD & NUTRITION SER,"ASSISTANT, FNS",31.149,8/9/2004,16.5,Active Full Time,91763
FOUNDATION,"ASSISTANT, FOUND",26.908,5/4/2015,5.75,Active Full Time,92376
LDRP O.R.,"ASSISTANT, LDRP",31.149,1/13/1997,24.083,Active Full Time,91750
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",20.667,12/6/2016,4.167,Active Full Time,91767
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",16.194,4/8/2019,1.833,Active Full Time,91730
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",18.746,10/21/2016,4.333,Active Full Time,91764
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",21.7,5/20/2019,1.75,Active Full Time,92879
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",21.7,11/4/2019,1.25,Active Full Time,91764
MEDICAL STAFF OFFICE,"ASSISTANT, MEDICAL S",35.944,7/5/2016,4.583,Active Full Time,91706
MEDICAL STAFF OFFICE,"ASSISTANT, MEDICAL S",32.603,3/20/2017,3.917,Active Full Time,91710
MEDICAL STAFF OFFICE,"ASSISTANT, MEDICAL S",31.05,7/20/2020,0.583,Active Regular Pa,91730
RADIOLOGY-ADMIN,"ASSISTANT, PACS",35.503,12/2/1996,24.167,Active Full Time,92337
LAB-PATHOLOGY,"ASSISTANT, PATHOLOGY",30.778,12/28/2007,13.167,Active Full Time,91701
PHYSICAL THERAPY WES,"ASSISTANT, PHYSICAL",32.591,9/6/2017,3.417,Active Full Time,91762
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",39.615,11/27/1996,24.25,Active Part Time,91750
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",35.933,5/4/2015,5.75,RFT - LOA > 30 da,91709
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",39.615,7/21/2006,14.583,Active Full Time,92880
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",29.56,7/30/2019,1.583,Active Full Time,91746
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",39.615,6/21/2006,14.667,Active Full Time,91767
PHYSICAL THERAPY WES,"ASSISTANT, PHYSICAL",39.615,6/13/2016,4.667,Active Full Time,91792
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",39.615,5/7/2012,8.75,Active Full Time,92336
PHY THER LAVERNE HC,"ASSISTANT, PHYSICAL",39.615,11/12/2007,13.25,Active Full Time,91741
PHYSICAL THERAPY MON,"ASSISTANT, PHYSICAL",39.615,10/26/2011,9.333,Active Full Time,91768
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",29.56,8/12/2019,1.5,Active Full Time,91803
PHY THER MILESTONES,"ASSISTANT, PT ADMINI",31.149,11/24/1997,23.25,Active Full Time,92407
PHY THER LAVERNE HC,"ASSISTANT, PT ADMINI",31.149,12/24/2003,17.167,Active Full Time,91785
PHYSICAL THERAPY CLA,"ASSISTANT, PT ADMINI",32.706,8/9/1993,27.5,Active Full Time,92509
PHYSICAL THERAPY WES,"ASSISTANT, PT ADMINI",32.706,2/8/1993,28.0,Active Full Time,91768
PHYSICAL THERAPY MON,"ASSISTANT, PT ADMINI",31.149,8/2/2007,13.5,Active Full Time,92376
PHYSICAL THERAPY,"ASSISTANT, PT ADMINI",31.149,8/26/2002,18.5,Active Full Time,91741
RADIOLOGY-ADMIN,"ASSISTANT, RADIOLOGY",32.706,8/25/1986,34.5,Active Full Time,91784
SECURITY,"ASSISTANT, SECURITY",31.149,1/9/2001,20.083,Active Full Time,91768
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",45.942,5/30/2001,19.75,Active Full Time,92336
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",48.239,6/18/1990,30.667,Active Full Time,91711
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",41.671,3/10/1997,23.917,Active Full Time,91739
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",39.687,3/29/2006,14.917,Active Full Time,91786
PHYSICAL THERAPY,"ASSISTANT, SR PHYSIC",43.673,12/2/1998,22.167,Active Full Time,91786
PHYSICAL THERAPY,"ASSISTANT, SR PHYSIC",45.857,9/7/1993,27.417,Active Full Time,91767
PHYSICAL THERAPY CHI,"ASSISTANT, SR PHYSIC",43.673,9/23/2002,18.417,Active Full Time,91709
VOLUNTEERS,"ASSISTANT, VOLUNTEER",26.908,6/28/2017,3.667,Active Full Time,91740
CHINO HILLS  HEALTH,ASSISTANT/RECEPTIONI,21.7,4/5/2007,13.833,Active Full Time,91764
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,17.854,10/3/2018,2.333,Active Full Time,91767
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,19.684,8/6/2018,2.5,Active Full Time,92308
LAVERNE HC URGENT CA,ASSISTANT/RECEPTIONI,21.7,2/4/2019,2.0,Active Regular Pa,92405
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,21.7,2/9/2015,6.0,Active Full Time,91740
CHINO HILLS  HEALTH,ASSISTANT/RECEPTIONI,18.746,12/2/2019,1.167,Active Regular Pa,91710
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,19.684,1/22/2018,3.083,RFT - LOA > 30 da,92404
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,18.746,5/26/2020,0.75,Active Full Time,91763
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,21.7,9/18/2017,3.417,Active Full Time,91766
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,21.7,3/4/2020,0.917,Active Full Time,91711
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,21.7,4/8/2013,7.833,Active Full Time,91331
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,18.746,7/10/2017,3.583,Active Full Time,92336
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,20.667,8/13/2018,2.5,Active Full Time,91792
CH CROSSROADS URGENT,ASSISTANT/RECEPTIONI,21.7,2/11/2019,2.0,Active Regular Pa,91750
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,21.7,11/9/2020,0.25,Active Full Time,91767
CHINO HILLS  HEALTH,ASSISTANT/RECEPTIONI,21.7,5/12/2014,6.75,Active Full Time,92337
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,21.7,9/18/2017,3.417,Active Full Time,91767
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,17.004,2/11/2019,2.0,RFT - LOA > 30 da,91768
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,17.854,5/26/2020,0.75,Active Full Time,91766
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,21.7,11/16/2020,0.25,Active Full Time,91766
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,20.667,2/26/2018,3.0,Active Full Time,91767
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,21.7,1/11/2021,0.083,Active Full Time,91710
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,21.7,9/1/2016,4.417,Active Full Time,92509
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,21.7,10/14/2013,7.333,RFT - LOA > 30 da,92376
CH CROSSROADS URGENT,ASSISTANT/RECEPTIONI,21.7,11/5/2020,0.25,Active Full Time,91786
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,21.7,4/2/2018,2.833,Active Full Time,92337
LAVERNE HC URGENT CA,ASSISTANT/RECEPTIONI,21.7,3/19/2018,2.917,Active Regular Pa,91767
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,21.7,2/5/2018,3.0,Active Full Time,91750
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,19.684,9/18/2017,3.417,RFT - LOA Workers,91733
LAVERNE HC URGENT CA,ASSISTANT/RECEPTIONI,20.667,8/10/2020,0.5,Active Full Time,91764
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,21.7,1/16/2001,20.083,Active Full Time,91767
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,21.7,9/23/2016,4.417,Active Full Time,91763
PHYSICAL THERAPY MON,"ASSOCIATE DIRECTOR,",74.983,3/8/1986,34.917,Active Full Time,91709
PHYSICAL THERAPY,"ASSOCIATE DIRECTOR,",112.323,7/11/1983,37.583,Active Full Time,91750
RADIOLOGY-ADMIN,"ASSOCIATE DIRECTOR,",73.552,8/27/2001,19.5,Active Full Time,91786
UTILIZATION MANAGEME,"AUDITOR, CLINICAL DO",72.992,2/24/2020,1.0,Active Full Time,91724
UTILIZATION MANAGEME,"AUDITOR, CLINICAL DO",66.207,7/6/2020,0.583,Active Full Time,91765
UTILIZATION MANAGEME,"AUDITOR, CLINICAL DO",66.207,3/11/2019,1.917,Active Full Time,92602
HUMAN RESOURCES,BENEFITS SPECIST,37.74,2/28/2019,2.0,Active Full Time,92545
HUMAN RESOURCES,BENEFITS SPECIST,37.74,5/8/2017,3.75,Active Full Time,91730
PURCHASING,BUYER,29.366,10/12/2020,0.333,Active Full Time,92509
PURCHASING,BUYER,32.376,11/25/2019,1.25,Active Full Time,91773
PURCHASING,BUYER,30.835,9/6/2011,9.417,Active Full Time,91761
PURCHASING,"BUYER, PROCEDURAL SE",36.216,10/21/2019,1.333,Active Full Time,91801
PURCHASING,"BUYER, SENIOR",36.216,3/12/2018,2.917,Active Full Time,91730
CATH LAB,CARDIAC CATH CVT TEC,42.155,8/1/1990,30.5,Active Full Time,91737
CATH LAB,CARDIAC CATH CVT TEC,40.148,2/6/2017,4.0,Active Full Time,91765
CATH LAB,CARDIAC CATH RAD TEC,54.729,3/15/2007,13.917,Active Full Time,92880
CATH LAB,CARDIAC CATH RAD TEC,54.729,2/13/2017,4.0,Active Full Time,91773
CATH LAB,CARDIAC CATH RAD TEC,40.839,11/3/2003,17.25,Active Full Time,92337
CATH LAB,CARDIAC CATH RAD TEC,54.729,11/13/2006,14.25,Active Full Time,92880
CATH LAB,CARDIAC CATH RAD TEC,54.729,4/3/2000,20.833,Active Full Time,91745
CATH LAB,CARDIAC CATH RAD TEC,57.466,4/28/1986,34.833,Active Full Time,91762
CATH LAB,CARDIAC CATH RAD TEC,54.729,12/29/2015,5.167,Active Full Time,91761
NON-INVASIVE CARDIO,CARDIO TECH II,37.344,7/14/2003,17.583,Active Full Time,91761
NON-INVASIVE CARDIO,CARDIO TECH II,37.344,3/12/2012,8.917,Active Regular Pa,92376
NON-INVASIVE CARDIO,CARDIO TECH II,37.344,9/11/2000,20.417,Active Full Time,92880
NON-INVASIVE CARDIO,CARDIO TECH II,37.344,7/10/2000,20.583,Active Full Time,92880
PLANT OPERATIONS,CARPENTER,31.736,12/10/2018,2.167,Active Full Time,91750
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,25.865,12/21/2015,5.167,Active Full Time,92336
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,25.865,10/13/2014,6.333,RFT - LOA > 30 da,92404
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,25.865,8/21/2017,3.5,Active Regular Pa,91786
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,27.158,12/12/1994,26.167,RFT - LOA Workers,91709
